uid,language,utterance,utterance_stripped,begin,end,participant,duration,FTO,overlap,nature,nchar,n,freq,rank,streak
dutch-06-681-798141,dutch,ja,ja,798141,798504,spreker1 [v] (TIE0),363,-286,partial,talk,2,77862,1.2112289194185375e-5,1,2
dutch-06-683-798855,dutch,ja,ja,798855,799173,spreker1 [v] (TIE0),318,-878,full,talk,2,77862,1.2112289194185375e-5,1,3
dutch-06-717-838467,dutch,ja,ja,838467,838752,spreker1 [v] (TIE0),285,-362,full,talk,2,77862,1.2112289194185375e-5,1,2
dutch-06-721-840837,dutch,ja,ja,840837,841507,spreker2 [v] (TIE2),670,-1570,full,talk,2,77862,1.2112289194185375e-5,1,2
dutch-07-154-228221,dutch,ja,ja,228221,228687,spreker2 [v] (TIE2),466,-84,partial,talk,2,77862,1.2112289194185375e-5,1,2
dutch-07-165-247034,dutch,ja,ja,247034,248107,spreker2 [v] (TIE2),1073,-965,partial,talk,2,77862,1.2112289194185375e-5,1,2
dutch-07-397-600391,dutch,ja,ja,600391,600909,spreker1 [v] (TIE0),518,-34,partial,talk,2,77862,1.2112289194185375e-5,1,2
dutch-07-585-874193,dutch,zo is het,zo is het,874193,874922,spreker1 [v] (TIE0),729,-763,full,talk,9,4,6.222439287038799e-10,202,2
dutch-08-029-34024,dutch,ja,ja,34024,34292,spreker1 [v] (TIE0),268,-151,partial,talk,2,77862,1.2112289194185375e-5,1,2
dutch-08-079-93447,dutch,ja,ja,93447,93715,spreker2 [v] (TIE2),268,222,NA,talk,2,77862,1.2112289194185375e-5,1,2
dutch-08-087-98454,dutch,nee,nee,98454,99026,spreker2 [v] (TIE2),572,140.00000000001455,NA,talk,3,9041,1.4064268398529449e-6,2,2
dutch-08-134-145032,dutch,ja,ja,145032,145288,spreker1 [v] (TIE0),256,-653,full,talk,2,77862,1.2112289194185375e-5,1,2
dutch-08-196-212743,dutch,ja,ja,212743,213093.00000000003,spreker1 [v] (TIE0),350.0000000000291,-338.0000000000291,NA,talk,2,77862,1.2112289194185375e-5,1,2
dutch-08-198-214867,dutch,ja,ja,214867,215089,spreker1 [v] (TIE0),222,93,NA,talk,2,77862,1.2112289194185375e-5,1,3
dutch-08-202-217890,dutch,ja,ja,217890,218275,spreker2 [v] (TIE2),385,164,NA,talk,2,77862,1.2112289194185375e-5,1,2
